COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ib.1	p_Ia.3.III	p_Ia.4.RS39	p_Ia.3.IV	p_Ia.4.1483	p_Ia.4.II	p_Ia.3.II	p_Ia.3.VI	p_Ia.3.V	p_Ia.3.I	p_Ia.1.I	N_Ib.1	N_Ia.3.III	N_Ia.4.RS39	N_Ia.3.IV	N_Ia.4.1483	N_Ia.4.II	N_Ia.3.II	N_Ia.3.VI	N_Ia.3.V	N_Ia.3.I	N_Ia.1.I
NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC (FlaA1) (PDB:2GN4)!!!Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid) (WcaJ) (PDB:5W7L)	1.957476788181155	0.9966557866756948	1	Ia.3.VI	COG1086!!!COG2148	GC_00003895	0	0	0	0	0	0	0	0.0426	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Large exoprotein involved in heme utilization or adhesion (FhaB) (PDB:4RM6)!!!Uncharacterized conserved protein, contains a C-terminal beta-barrel porin domain	1.957476788181155	0.9966557866756948	1	Ia.3.VI	COG3210!!!COG4625	GC_00003681	0	0	0	0	0	0	0	0.0426	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Hemolysin activation/secretion protein (FhaC) (PDB:2MHJ)	1.957476788181155	0.9966557866756948	1	Ia.3.VI	COG2831	GC_00003750	0	0	0	0	0	0	0	0.0426	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Predicted RNA methylase	1.957476788181155	0.9966557866756948	1	Ia.3.VI	COG4076	GC_00003396	0	0	0	0	0	0	0	0.0426	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Acyl-CoA dehydratase PaaZ (MaoC) (PDB:5ZY8)	1.957476788181155	0.9966557866756948	1	Ia.3.VI	COG2030	GC_00005438, GC_00006127	0	0	0	0	0	0	0	0.0426	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Acyl carrier protein (AcpP) (PDB:1ACP)!!!NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)!!!Acyl transferase domain in polyketide synthase (PKS) enzymes (PksD) (PDB:6IYO)!!!Predicted enzyme involved in methoxymalonyl-ACP biosynthesis (FkbH)	1.957476788181155	0.9966557866756948	1	Ia.3.VI	COG0236!!!COG1028!!!COG3321!!!COG3882	GC_00003110	0	0	0	0	0	0	0	0.0426	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Aromatic ring-opening dioxygenase, catalytic subunit, LigB family (LigB) (PDB:2PW6) (PUBMED:23258706)	1.957476788181155	0.9966557866756948	1	Ia.3.VI	COG3384	GC_00003418	0	0	0	0	0	0	0	0.0426	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Predicted ATP-binding protein involved in virulence!!!Predicted ATPase	1.957476788181155	0.9966557866756948	1	Ia.3.VI	COG3950!!!COG4938	GC_00003286	0	0	0	0	0	0	0	0.0426	0	0	0	2	5	4	2	1	7	6	47	8	3	7
tRNA G10 N-methylase Trm11 (Trm11) (PDB:5E71)	1.957476788181155	0.9966557866756948	1	Ia.3.VI	COG1041	GC_00006050, GC_00006145	0	0	0	0	0	0	0	0.0426	0	0	0	2	5	4	2	1	7	6	47	8	3	7
LPS sulfotransferase NodH (LpsS) (PDB:1TEX)!!!Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)	1.957476788181155	0.9966557866756948	1	Ia.3.VI	COG4424!!!COG5010	GC_00003969	0	0	0	0	0	0	0	0.0426	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Ribosomal protein L31 (RpmE) (PDB:1VS6)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0254	GC_00000816	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Preprotein translocase subunit SecB (SecB) (PDB:1OZB)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1952	GC_00000858	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG4783	GC_00000820, GC_00005203, GC_00006813	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, DUF1013 family	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG3820	GC_00000885	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE (TsaE) (PDB:1FL9)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0802	GC_00000926, GC_00003855	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase (MurG) (PDB:1F0K)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0707	GC_00000996, GC_00002089, GC_00003718, GC_00004019	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized membrane protein YczE (YczE)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG2364	GC_00000861	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Transaldolase/fructose-6-phosphate aldolase (TalA) (PDB:1F05)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0176	GC_00000910, GC_00004140	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Phosphoribosylamine-glycine ligase (PurD) (PDB:1GSO)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0151	GC_00000857	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
RecG-like helicase (RecG) (PDB:1GM5)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1200	GC_00000876	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Predicted phosphotransferase, aminoglycoside/choline kinase (APH/ChoK) family	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG3178	GC_00000743	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
NAD/NADP transhydrogenase beta subunit (PntB) (PDB:1D4O)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1282	GC_00000848	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Membrane-bound lytic murein transglycosylase B (MltB) (PDB:1D0K)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG2951	GC_00000821	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Palmitoleoyl-ACP: Kdo2-lipid-IV acyltransferase (lipid A biosynthesis) (LpxP) (PDB:5F2T) (PUBMED:11830595)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1560	GC_00000845	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
DNA polymerase III, epsilon subunit or related 3'-5' exonuclease (DnaQ) (PDB:1J53)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0847	GC_00000867, GC_00002243	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Lipoate synthase (LipA) (PDB:4U0O) (PUBMED:27941785)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0320	GC_00000879	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Cell division protein FtsB (FtsB) (PDB:4IFF)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG2919	GC_00000872	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s (GCD1) (PDB:6JQ8)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1208	GC_00000908, GC_00001498, GC_00001748, GC_00001753, GC_00002524, GC_00002651, GC_00003231, GC_00004567, GC_00004568, GC_00004629, GC_00004827, GC_00004968, GC_00005292, GC_00005796, GC_00005892, GC_00006153, GC_00006236, GC_00006373, GC_00006687, GC_00007273, GC_00008172	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Membrane protein RarD, contains two EamA domains, drug/metabolite transporter family (RarD) (PUBMED:26335199)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG2962	GC_00000840	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
UDP-3-O-acyl-N-acetylglucosamine deacetylase (LpxC) (PDB:1P42)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0774	GC_00000130	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
S-adenosylhomocysteine hydrolase (SAM1) (PDB:1A7A)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0499	GC_00000835	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
16S rRNA G966 N2-methylase RsmD (RsmD) (PDB:2IFT)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0742	GC_00000513	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module (PasT) (PDB:1T17) (PUBMED:21323758)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG2867	GC_00000853	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
UDP-N-acetylmuramate-alanine ligase MurC and related ligases, MurC/Mpl family (MurC)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0773	GC_00000846	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
tRNA G18 (ribose-2'-O)-methylase SpoU (SpoU) (PDB:1GZ0)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0566	GC_00000870	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized membrane protein (PUBMED:19363116)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG2928	GC_00000825	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, DUF2093 domain	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG3908	GC_00000829	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (IspF) (PDB:1GX1)!!!2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (IspD) (PDB:1H3M)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0245!!!COG1211	GC_00000869	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
UDP-N-acetylmuramoylalanine-D-glutamate ligase (MurD) (PDB:1E0D)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0771	GC_00000839	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Phosphatidylglycerophosphatase A (PgpA) (PDB:1RFZ)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1267	GC_00001218, GC_00001370	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase (KdsA) (PDB:1G7U)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG2877	GC_00000880, GC_00007220	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
UDP-N-acetylenolpyruvoylglucosamine reductase (MurB) (PDB:2MBR)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0812	GC_00000850	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Protein translocase subunit SecG (SecG) (PDB:2AKH)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1314	GC_00000814	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Predicted thiol-disulfide oxidoreductase YuxK, DCC family (YuxK) (PUBMED:15236740)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG3011	GC_00000854, GC_00004687	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Zn-dependent protease PmbA/TldA or its inactivated homolog (TldD) (PDB:3TV9) (PUBMED:12029038)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0312	GC_00000819, GC_00000828	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase (Rfe) (PDB:4J72)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0472	GC_00000773, GC_00002041, GC_00002068, GC_00002532, GC_00002821, GC_00003073, GC_00003101, GC_00003155, GC_00003366, GC_00003419, GC_00003428, GC_00003509, GC_00003693, GC_00003890, GC_00003974, GC_00004264, GC_00004290, GC_00004291, GC_00004586, GC_00004726, GC_00004841, GC_00005116, GC_00005371, GC_00005460, GC_00005724, GC_00005775, GC_00006136, GC_00006157, GC_00006443, GC_00006486, GC_00006558, GC_00006709, GC_00006806, GC_00006860, GC_00006913, GC_00006930, GC_00006956, GC_00006981, GC_00007330, GC_00007488, GC_00007553, GC_00007625, GC_00007672, GC_00007802, GC_00007845, GC_00007863, GC_00008234	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (LpxD) (PDB:6P83)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1044	GC_00000847, GC_00004315, GC_00004954	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
D-alanine-D-alanine ligase or related ATP-grasp enzyme (DdlA) (PDB:1E4E)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1181	GC_00000838, GC_00003453	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Succinate dehydrogenase flavin-adding protein, antitoxin component of the CptAB toxin-antitoxin module (SdhE) (PDB:1PUZ)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG2938	GC_00000992, GC_00002043, GC_00003445	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Triosephosphate isomerase (TpiA) (PDB:1HG3)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0149	GC_00000886	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase (LpxA) (PDB:1J2Z)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1043	GC_00000884, GC_00002065, GC_00006513, GC_00007210	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
NAD/NADP transhydrogenase alpha subunit (PntA) (PDB:1F8G)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG3288	GC_00000818, GC_00000855	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Outer membrane protein assembly factor BamD, BamD/ComL family (BamD) (PDB:2YHC)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG4105	GC_00000689	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Enolase (Eno) (PDB:1E9I)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0148	GC_00000851	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
CTP synthase (UTP-ammonia lyase) (PyrG) (PDB:1S1M)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0504	GC_00000844	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Nicotinamide mononucleotide (NMN) deamidase PncC (PncC) (PDB:2A9S)	0.9679692485254071	0.9998517981840558	1	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1546	GC_00000860	1	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
N-acyl-D-aspartate/D-glutamate deacylase	0.9679692485253995	0.9998517981840556	1	Ia.3.VI	COG3653	GC_00008151	0	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Cytochrome bd-type quinol oxidase, subunit 2 (AppB) (PDB:6RKO)	0.9679692485253995	0.9998517981840556	1	Ia.3.VI	COG1294	GC_00005296	0	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Leucyl aminopeptidase (aminopeptidase T) (AmpS) (PDB:1ZJC)	0.9679692485253995	0.9998517981840556	1	Ia.3.VI	COG2309	GC_00005500	0	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Cytochrome bd-type quinol oxidase, subunit 1 (AppC) (PDB:5DOQ)	0.9679692485253995	0.9998517981840556	1	Ia.3.VI	COG1271	GC_00007883	0	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
CMP-N-acetylneuraminic acid synthetase, NeuA/PseF family (NeuA) (PDB:1EYR)!!!Spore coat polysaccharide biosynthesis protein SpsG, predicted glycosyltransferase (SpsG)	0.9679692485253995	0.9998517981840556	1	Ia.3.VI	COG1083!!!COG3980	GC_00007974	0	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Predicted deacylase (PDB:3CDX)	0.9679692485253995	0.9998517981840556	1	Ia.3.VI	COG3608	GC_00006498	0	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Histidinol phosphatase/D-glycero-mannoheptose bisphosphatephosphatase, HAD superfamily (HisB1/GmhB) (PDB:2GMW) (PUBMED:20050615;20050614)!!!Uridine kinase (Udk) (PDB:5B3F)!!!NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s (GCD1) (PDB:6JQ8)	0.9679692485253995	0.9998517981840556	1	Ia.3.VI	COG0241!!!COG0572!!!COG1208	GC_00005665	0	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Predicted restriction endonuclease, HNH family (PDB:6GHC)	0.9679692485253995	0.9998517981840556	1	Ia.3.VI	COG3183	GC_00005852	0	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases (Crp) (PDB:1FT9)	0.9679692485253995	0.9998517981840556	1	Ia.3.VI	COG0664	GC_00007068	0	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)!!!Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)	0.9679692485253995	0.9998517981840556	1	Ia.3.VI	COG0463!!!COG1216	GC_00007181	0	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Poly-gamma-glutamate biosynthesis protein CapA/YwtB (capsule formation), metallophosphatase superfamily (CapA)	0.9679692485253995	0.9998517981840556	1	Ia.3.VI	COG2843	GC_00007291	0	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
EntF, seryl-AMP synthase component  of non-ribosomal peptide synthetase (EntF) (PDB:5ES5)	0.9679692485253995	0.9998517981840556	1	Ia.3.VI	COG1020	GC_00005897	0	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Mannose-6-phosphate isomerase, cupin superfamily (ManC) (PDB:1IPJ)!!!Sialic acid synthase SpsE, contains C-terminal SAF domain (SpsE) (PDB:1VLI)	0.9679692485253995	0.9998517981840556	1	Ia.3.VI	COG0662!!!COG2089	GC_00006740	0	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
O-acetyl-ADP-ribose deacetylase (regulator of RNase III), contains Macro domain (YmdB) (PDB:1HJZ)	0.9679692485253995	0.9998517981840556	1	Ia.3.VI	COG2110	GC_00007370	0	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
