gene_callers_id	source	accession	function	e_value
401	KEGG_Class	M00376!!!M00082!!!M00613	Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Signature modules; Module set; Metabolic capacity	0.0
1323	KEGG_Class	M00001!!!M00002!!!M00003	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	0.0
1338	KEGG_Class	M00051	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	0.0
1345	KEGG_Class	M00017	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	0.0
1313	KEGG_Class	M00075	Pathway modules; Glycan metabolism; Glycan biosynthesis	0.0
1344	KEGG_Class	M00026	Pathway modules; Amino acid metabolism; Histidine metabolism	0.0
1343	KEGG_Class	M00025	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	0.0
1335	KEGG_Class	M00133	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	0.0
1327	KEGG_Class	M00035	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	0.0
1333	KEGG_Class	M00134	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	0.0
1351	KEGG_Class	M00015	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	0.0
815	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
818	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
792	KEGG_Class	M00060!!!M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism!!!Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	0.0
819	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
779	KEGG_Class	M00052	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	0.0
812	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
784	KEGG_Class	M00023	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	0.0
811	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
809	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
810	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
788	KEGG_Class	M00121	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
796	KEGG_Class	M00093	Pathway modules; Lipid metabolism; Lipid metabolism	0.0
785	KEGG_Class	M00023	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	0.0
793	KEGG_Class	M00083!!!M00572	Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
783	KEGG_Class	M00023	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	0.0
807	KEGG_Class	M00120	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
790	KEGG_Class	M00060!!!M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism!!!Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	0.0
789	KEGG_Class	M00060!!!M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism!!!Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	0.0
781	KEGG_Class	M00001!!!M00002!!!M00003	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	0.0
814	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
795	KEGG_Class	M00096	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	0.0
813	KEGG_Class	M00144	Pathway modules; Energy metabolism; ATP synthesis	0.0
791	KEGG_Class	M00060!!!M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism!!!Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	0.0
250	KEGG_Class	M00019!!!M00570	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism!!!Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	0.0
261	KEGG_Class	M00169!!!M00172!!!M00171!!!M00173!!!M00614	Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Signature modules; Module set; Metabolic capacity	0.0
259	KEGG_Class	M00938	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	0.0
268	KEGG_Class	M00096	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	0.0
279	KEGG_Class	M00126	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
249	KEGG_Class	M00432	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	0.0
277	KEGG_Class	M00127!!!M00895!!!M00896!!!M00899	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
252	KEGG_Class	M00019!!!M00570	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism!!!Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	0.0
251	KEGG_Class	M00019!!!M00570	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism!!!Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	0.0
267	KEGG_Class	M00022	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	0.0
276	KEGG_Class	M00049	Pathway modules; Nucleotide metabolism; Purine metabolism	0.0
266	KEGG_Class	M00124	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
278	KEGG_Class	M00909	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	0.0
1012	KEGG_Class	M00012	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	0.0
972	KEGG_Class	M00020	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	0.0
499	KEGG_Class	M00083!!!M00572	Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
500	KEGG_Class	M00083!!!M00572	Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
498	KEGG_Class	M00083	Pathway modules; Lipid metabolism; Fatty acid metabolism	0.0
527	KEGG_Class	M00016!!!M00525!!!M00526!!!M00527	Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism	0.0
518	KEGG_Class	M00169!!!M00172	Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation	0.0
506	KEGG_Class	M00609!!!M00034!!!M00035!!!M00368!!!M00953	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism!!!Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism!!!Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism!!!Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism!!!Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of phytochemical compounds	0.0
1199	KEGG_Class	M00051	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	0.0
1198	KEGG_Class	M00051	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	0.0
1223	KEGG_Class	M00005	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	0.0
1227	KEGG_Class	M00151!!!M00152	Pathway modules; Energy metabolism; ATP synthesis!!!Pathway modules; Energy metabolism; ATP synthesis	0.0
1228	KEGG_Class	M00151!!!M00152	Pathway modules; Energy metabolism; ATP synthesis!!!Pathway modules; Energy metabolism; ATP synthesis	0.0
1222	KEGG_Class	M00958!!!M00959!!!M00034	Pathway modules; Nucleotide metabolism; Purine metabolism!!!Pathway modules; Nucleotide metabolism; Purine metabolism!!!Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	0.0
1229	KEGG_Class	M00151!!!M00152	Pathway modules; Energy metabolism; ATP synthesis!!!Pathway modules; Energy metabolism; ATP synthesis	0.0
1215	KEGG_Class	M00019!!!M00570!!!M00036!!!M00119	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism!!!Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism!!!Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
1212	KEGG_Class	M00126!!!M00840	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
145	KEGG_Class	M00848	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other antibiotics	0.0
147	KEGG_Class	M00082!!!M00873!!!M00874	Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Pathway modules; Lipid metabolism; Fatty acid metabolism	0.0
123	KEGG_Class	M00127!!!M00895	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
135	KEGG_Class	M00048	Pathway modules; Nucleotide metabolism; Purine metabolism	0.0
157	KEGG_Class	M00118	Pathway modules; Amino acid metabolism; Other amino acid metabolism	0.0
156	KEGG_Class	M00118	Pathway modules; Amino acid metabolism; Other amino acid metabolism	0.0
134	KEGG_Class	M00048	Pathway modules; Nucleotide metabolism; Purine metabolism	0.0
144	KEGG_Class	M00050	Pathway modules; Nucleotide metabolism; Purine metabolism	0.0
154	KEGG_Class	M00048	Pathway modules; Nucleotide metabolism; Purine metabolism	0.0
136	KEGG_Class	M00049!!!M00050!!!M00053!!!M00052!!!M00938	Pathway modules; Nucleotide metabolism; Purine metabolism!!!Pathway modules; Nucleotide metabolism; Purine metabolism!!!Pathway modules; Nucleotide metabolism; Purine metabolism!!!Pathway modules; Nucleotide metabolism; Pyrimidine metabolism!!!Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	0.0
126	KEGG_Class	M00376!!!M00082!!!M00613	Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Signature modules; Module set; Metabolic capacity	0.0
127	KEGG_Class	M00376!!!M00082!!!M00613	Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Signature modules; Module set; Metabolic capacity	0.0
129	KEGG_Class	M00146	Pathway modules; Energy metabolism; ATP synthesis	0.0
125	KEGG_Class	M00022	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	0.0
124	KEGG_Class	M00127!!!M00895	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
146	KEGG_Class	M00083!!!M00874!!!M00572	Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Pathway modules; Lipid metabolism; Fatty acid metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
78	KEGG_Class	M00956!!!M00957!!!M00027	Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Other amino acid metabolism	0.0
42	KEGG_Class	M00053!!!M00938	Pathway modules; Nucleotide metabolism; Purine metabolism!!!Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	0.0
41	KEGG_Class	M00053!!!M00938	Pathway modules; Nucleotide metabolism; Purine metabolism!!!Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	0.0
66	KEGG_Class	M00021	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	0.0
56	KEGG_Class	M00075	Pathway modules; Glycan metabolism; Glycan biosynthesis	0.0
43	KEGG_Class	M00855!!!M00549	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	0.0
50	KEGG_Class	M00124	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
1277	KEGG_Class	M00060!!!M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism!!!Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	0.0
1276	KEGG_Class	M00060!!!M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism!!!Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	0.0
1280	KEGG_Class	M00048	Pathway modules; Nucleotide metabolism; Purine metabolism	0.0
1274	KEGG_Class	M00117	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
1278	KEGG_Class	M00060!!!M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism!!!Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	0.0
1286	KEGG_Class	M00125	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
1043	KEGG_Class	M00970	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	0.0
1050	KEGG_Class	M00880	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
1064	KEGG_Class	M00126!!!M00841!!!M00842!!!M00843	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
1049	KEGG_Class	M00880	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
1046	KEGG_Class	M00880	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
884	KEGG_Class	M00596	Pathway modules; Energy metabolism; Sulfur metabolism	0.0
885	KEGG_Class	M00596	Pathway modules; Energy metabolism; Sulfur metabolism	0.0
862	KEGG_Class	M00793	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	0.0
1150	KEGG_Class	M00532	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	0.0
1149	KEGG_Class	M00575!!!M00696!!!M00697	Signature modules; Gene set; Pathogenicity!!!Signature modules; Gene set; Drug resistance!!!Signature modules; Gene set; Drug resistance	0.0
1166	KEGG_Class	M00115	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
1164	KEGG_Class	M00051	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	0.0
1169	KEGG_Class	M00009!!!M00011!!!M00173!!!M00376!!!M00613!!!M00614	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Signature modules; Module set; Metabolic capacity!!!Signature modules; Module set; Metabolic capacity	0.0
1167	KEGG_Class	M00115!!!M00912	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
1145	KEGG_Class	M00093	Pathway modules; Lipid metabolism; Lipid metabolism	0.0
1125	KEGG_Class	M00028!!!M00845	Pathway modules; Amino acid metabolism; Arginine and proline metabolism!!!Pathway modules; Amino acid metabolism; Arginine and proline metabolism	0.0
1136	KEGG_Class	M00622	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
1144	KEGG_Class	M00093	Pathway modules; Lipid metabolism; Lipid metabolism	0.0
1130	KEGG_Class	M00087	Pathway modules; Lipid metabolism; Fatty acid metabolism	0.0
1139	KEGG_Class	M00050	Pathway modules; Nucleotide metabolism; Purine metabolism	0.0
1146	KEGG_Class	M00009!!!M00010!!!M00740!!!M00173!!!M00614	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism!!!Pathway modules; Energy metabolism; Carbon fixation!!!Signature modules; Module set; Metabolic capacity	0.0
1137	KEGG_Class	M00119!!!M00913!!!M00914	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
1122	KEGG_Class	M00009!!!M00010!!!M00012!!!M00740!!!M00173!!!M00614	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism!!!Pathway modules; Energy metabolism; Carbon fixation!!!Signature modules; Module set; Metabolic capacity	0.0
1127	KEGG_Class	M00133	Pathway modules; Amino acid metabolism; Polyamine biosynthesis	0.0
1135	KEGG_Class	M00919	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	0.0
1141	KEGG_Class	M00050	Pathway modules; Nucleotide metabolism; Purine metabolism	0.0
1262	KEGG_Class	M00154	Pathway modules; Energy metabolism; ATP synthesis	0.0
1247	KEGG_Class	M00157	Pathway modules; Energy metabolism; ATP synthesis	0.0
1248	KEGG_Class	M00157	Pathway modules; Energy metabolism; ATP synthesis	0.0
1245	KEGG_Class	M00157	Pathway modules; Energy metabolism; ATP synthesis	0.0
1251	KEGG_Class	M00097	Pathway modules; Biosynthesis of terpenoids and polyketides; Plant terpenoid biosynthesis	0.0
1254	KEGG_Class	M00018	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	0.0
1231	KEGG_Class	M00868!!!M00121	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
1257	KEGG_Class	M00018	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	0.0
1253	KEGG_Class	M00096	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	0.0
1246	KEGG_Class	M00157	Pathway modules; Energy metabolism; ATP synthesis	0.0
1260	KEGG_Class	M00154	Pathway modules; Energy metabolism; ATP synthesis	0.0
1264	KEGG_Class	M00155	Pathway modules; Energy metabolism; ATP synthesis	0.0
1263	KEGG_Class	M00155	Pathway modules; Energy metabolism; ATP synthesis	0.0
1259	KEGG_Class	M00155	Pathway modules; Energy metabolism; ATP synthesis	0.0
1234	KEGG_Class	M00096	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	0.0
210	KEGG_Class	M00532!!!M00621	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism!!!Pathway modules; Amino acid metabolism; Serine and threonine metabolism	0.0
211	KEGG_Class	M00532	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	0.0
212	KEGG_Class	M00532!!!M00621	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism!!!Pathway modules; Amino acid metabolism; Serine and threonine metabolism	0.0
228	KEGG_Class	M00956!!!M00957!!!M00960	Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism	0.0
1358	KEGG_Class	M00158	Pathway modules; Energy metabolism; ATP synthesis	0.0
1376	KEGG_Class	M00009!!!M00011!!!M00173!!!M00376!!!M00374!!!M00149!!!M00613!!!M00614	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; ATP synthesis!!!Signature modules; Module set; Metabolic capacity!!!Signature modules; Module set; Metabolic capacity	0.0
1380	KEGG_Class	M00018!!!M00033!!!M00017!!!M00016!!!M00525!!!M00526!!!M00527	Pathway modules; Amino acid metabolism; Serine and threonine metabolism!!!Pathway modules; Amino acid metabolism; Serine and threonine metabolism!!!Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism	0.0
1385	KEGG_Class	M00535!!!M00432	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism!!!Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	0.0
1386	KEGG_Class	M00535!!!M00432	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism!!!Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	0.0
1363	KEGG_Class	M00307!!!M00009!!!M00011!!!M00532!!!M00621!!!M00036!!!M00032	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism!!!Pathway modules; Amino acid metabolism; Serine and threonine metabolism!!!Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism	0.0
1374	KEGG_Class	M00013	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	0.0
1368	KEGG_Class	M00009!!!M00011!!!M00012!!!M00740!!!M00168!!!M00173!!!M00374!!!M00620!!!M00346!!!M00614	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Methane metabolism!!!Signature modules; Module set; Metabolic capacity	0.0
1387	KEGG_Class	M00535!!!M00432	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism!!!Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	0.0
1366	KEGG_Class	M00009!!!M00011!!!M00173!!!M00374!!!M00620!!!M00614	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Signature modules; Module set; Metabolic capacity	0.0
1367	KEGG_Class	M00009!!!M00011!!!M00173!!!M00374!!!M00620!!!M00614	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Signature modules; Module set; Metabolic capacity	0.0
1353	KEGG_Class	M00115!!!M00912	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
1365	KEGG_Class	M00009!!!M00011	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	0.0
1377	KEGG_Class	M00009!!!M00011!!!M00173!!!M00376!!!M00374!!!M00149!!!M00613!!!M00614	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; ATP synthesis!!!Signature modules; Module set; Metabolic capacity!!!Signature modules; Module set; Metabolic capacity	0.0
1360	KEGG_Class	M00157	Pathway modules; Energy metabolism; ATP synthesis	0.0
1358	KEGG_Class	M00157	Pathway modules; Energy metabolism; ATP synthesis	0.0
1361	KEGG_Class	M00157	Pathway modules; Energy metabolism; ATP synthesis	0.0
1364	KEGG_Class	M00009!!!M00011!!!M00032	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism	0.0
1392	KEGG_Class	M00016!!!M00525!!!M00527	Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism!!!Pathway modules; Amino acid metabolism; Lysine metabolism	0.0
1357	KEGG_Class	M00157	Pathway modules; Energy metabolism; ATP synthesis	0.0
1359	KEGG_Class	M00157	Pathway modules; Energy metabolism; ATP synthesis	0.0
771	KEGG_Class	M00096	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	0.0
777	KEGG_Class	M00001!!!M00002!!!M00003!!!M00346	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Energy metabolism; Methane metabolism	0.0
760	KEGG_Class	M00019!!!M00570	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism!!!Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	0.0
738	KEGG_Class	M00120	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
775	KEGG_Class	M00881!!!M00882!!!M00883!!!M00884	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
778	KEGG_Class	M00063	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	0.0
771	KEGG_Class	M00096	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	0.0
758	KEGG_Class	M00960	Pathway modules; Amino acid metabolism; Lysine metabolism	0.0
489	KEGG_Class	M00120!!!M00914	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
471	KEGG_Class	M00086	Pathway modules; Lipid metabolism; Fatty acid metabolism	0.0
474	KEGG_Class	M00117!!!M00128	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism!!!Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	0.0
